iter	MultiClass
0	1.084059039
1	1.067414027
2	1.042624159
3	1.019401766
4	1.007235197
5	0.9976282634
6	0.9884985595
7	0.9851973849
8	0.9802691496
9	0.9702434503
10	0.9629640157
11	0.9508134403
12	0.9383028401
13	0.9353416697
14	0.9297689718
15	0.9240448449
16	0.9168829841
17	0.9134457748
18	0.9115864161
19	0.907626389
20	0.9006353685
21	0.8923026902
22	0.8860994796
23	0.8802180472
24	0.8768619554
25	0.8717603198
26	0.8669854845
27	0.863377511
28	0.8570780093
29	0.8502968785
30	0.8442996519
31	0.8317595561
32	0.8275116529
33	0.8156645631
34	0.8096106113
35	0.8064900773
36	0.7951377551
37	0.7857845981
38	0.7762043215
39	0.7673378824
40	0.7596068143
41	0.7551208801
42	0.7462328712
43	0.7379375492
44	0.7302596727
45	0.7248712365
46	0.7205347654
47	0.7178521398
48	0.7097849425
49	0.7035501756
50	0.6999692815
51	0.695945809
52	0.6911706931
53	0.6807579747
54	0.6743353191
55	0.6700322703
56	0.6642873059
57	0.6577674018
58	0.6526217416
59	0.6474320277
60	0.6423632799
61	0.6366675083
62	0.6329501609
63	0.6267808134
64	0.6229982179
65	0.6203779694
66	0.6163534228
67	0.6115166733
68	0.6067437925
69	0.6031433398
70	0.6005639931
71	0.5958013248
72	0.5927657112
73	0.5909059501
74	0.5853311831
75	0.582093517
76	0.5799694029
77	0.576673104
78	0.5706569839
79	0.5671363902
80	0.5647016526
81	0.5569684628
82	0.5548219365
83	0.5516842041
84	0.548747639
85	0.5443750999
86	0.5407017484
87	0.5367227191
88	0.5346689077
89	0.5328655518
90	0.5312152736
91	0.5282849762
92	0.5253152612
93	0.523987622
94	0.5197206977
95	0.5174287976
96	0.515209608
97	0.5130171979
98	0.5104994724
99	0.5075508176
100	0.5054235381
101	0.5023079377
102	0.500070942
103	0.4963399766
104	0.4882446835
105	0.4862212663
106	0.4809987847
107	0.479217745
108	0.4771857051
109	0.4751883734
110	0.4731721231
111	0.471378298
112	0.4699243311
113	0.4678733479
114	0.4663079958
115	0.4648716149
116	0.4628985926
117	0.4612992809
118	0.4582533892
119	0.4566143836
120	0.4550353729
121	0.4535265876
122	0.451652247
123	0.4493050771
124	0.4478422487
125	0.4465052001
126	0.4428345733
127	0.4405844357
128	0.4391506043
129	0.4371017048
130	0.4354470137
131	0.4339662573
132	0.4322406873
133	0.4299768682
134	0.428713721
135	0.4276512554
136	0.426422741
137	0.4250325087
138	0.4234078922
139	0.4214928133
140	0.4190540073
141	0.4176131138
142	0.41365065
143	0.4125977493
144	0.4110885167
145	0.4099692838
146	0.4090264638
147	0.4078590507
148	0.4052686599
149	0.4023916963
150	0.4006593831
151	0.3988325093
152	0.3973555159
153	0.3957754974
154	0.3946811785
155	0.3934159131
156	0.3925196942
157	0.3911138037
158	0.3896164728
159	0.387864541
160	0.3857463
161	0.3848697958
162	0.3840094242
163	0.3800149652
164	0.3787757347
165	0.3768700787
166	0.3759048095
167	0.3748223391
168	0.3738795564
169	0.3729282991
170	0.3701096514
171	0.3683736221
172	0.3675215458
173	0.3665909357
174	0.3656675365
175	0.3645223751
176	0.3636044476
177	0.3627184441
178	0.3611097709
179	0.3596534327
180	0.3583692859
181	0.3565465752
182	0.3554002874
183	0.3541757006
184	0.3532555102
185	0.3522385762
186	0.3507565613
187	0.3499239531
188	0.3488938204
189	0.3480640969
190	0.3468155267
191	0.3457520997
192	0.3441836351
193	0.3422044769
194	0.3410611794
195	0.3390446846
196	0.3373006833
197	0.3365147341
198	0.3353847841
199	0.33465314
200	0.3338155718
201	0.3325545057
202	0.3319757754
203	0.3304052261
204	0.3272519925
205	0.3263506355
206	0.324894559
207	0.3240934719
208	0.322756594
209	0.3211174246
210	0.3203503099
211	0.3195512514
212	0.3186447376
213	0.3180565264
214	0.3174423058
215	0.3168252397
216	0.3160253823
217	0.3150251924
218	0.3143940677
219	0.313870907
220	0.3123943001
221	0.3104367648
222	0.3078687291
223	0.3071142487
224	0.3062451017
225	0.3050726355
226	0.3037105731
227	0.302500069
228	0.3012655734
229	0.2999254322
230	0.2983741062
231	0.2974662896
232	0.2963031762
233	0.2946705075
234	0.2938792463
235	0.2924458839
236	0.2913882893
237	0.2905242861
238	0.2899142678
239	0.2884649995
240	0.287018967
241	0.2862840979
242	0.285705331
243	0.2851431867
244	0.2841768007
245	0.2832155693
246	0.281666375
247	0.2808705317
248	0.2799686829
249	0.2792397339
250	0.2785931441
251	0.2779638734
252	0.2763281625
253	0.2759038961
254	0.2752343607
255	0.2745613078
256	0.2733623945
257	0.2728055722
258	0.2719070994
259	0.2709718082
260	0.2704392986
261	0.2699030404
262	0.2694366834
263	0.2687527173
264	0.2683192963
265	0.2678724932
266	0.2669403663
267	0.2652489061
268	0.2640234912
269	0.2634949974
270	0.2628377422
271	0.2622613774
272	0.2615451614
273	0.2609822453
274	0.2603569796
275	0.2599142455
276	0.2594299909
277	0.2588297582
278	0.2582059399
279	0.2575148644
280	0.2564899482
281	0.2560812536
282	0.2555283999
283	0.2547826075
284	0.2541547811
285	0.2537171329
286	0.2530431071
287	0.2524580914
288	0.2520222259
289	0.251134916
290	0.2505960184
291	0.2486967199
292	0.2480083424
293	0.247478113
294	0.2469350385
295	0.2462530042
296	0.2449719678
297	0.244302475
298	0.2438733337
299	0.2434431217
