iter	Passed	Remaining
0	149	44672
1	153	22821
2	156	15508
3	160	11878
4	164	9704
5	168	8259
6	172	7212
7	175	6423
8	179	5807
9	183	5319
10	186	4912
11	190	4575
12	194	4289
13	197	4041
14	201	3823
15	204	3635
16	208	3470
17	212	3321
18	215	3185
19	218	3064
20	222	2956
21	225	2855
22	229	2763
23	232	2679
24	236	2600
25	239	2528
26	241	2445
27	245	2383
28	248	2324
29	252	2271
30	255	2219
31	259	2171
32	262	2125
33	266	2081
34	269	2040
35	272	2000
36	276	1964
37	279	1929
38	283	1894
39	286	1861
40	289	1830
41	293	1800
42	296	1772
43	300	1746
44	303	1721
45	307	1698
46	310	1674
47	314	1652
48	318	1629
49	321	1609
50	325	1587
51	328	1567
52	332	1547
53	335	1529
54	339	1510
55	342	1491
56	345	1474
57	349	1456
58	352	1439
59	355	1423
60	359	1407
61	362	1393
62	366	1376
63	369	1362
64	372	1348
65	376	1334
66	380	1321
67	383	1308
68	387	1296
69	390	1284
70	394	1272
71	397	1259
72	401	1247
73	405	1237
74	408	1226
75	412	1215
76	415	1204
77	419	1193
78	422	1183
79	426	1172
80	429	1161
81	433	1151
82	436	1141
83	439	1131
84	443	1121
85	446	1111
86	450	1102
87	453	1093
88	457	1084
89	461	1075
90	464	1067
91	468	1058
92	471	1049
93	475	1041
94	478	1033
95	482	1024
96	485	1016
97	488	1007
98	492	999
99	496	992
100	499	984
101	503	977
102	507	969
103	510	962
104	514	955
105	517	947
106	521	939
107	524	932
108	527	924
109	531	917
110	534	910
111	538	903
112	541	896
113	544	889
114	548	881
115	551	875
116	555	868
117	558	861
118	561	854
119	565	847
120	568	840
121	571	834
122	574	827
123	578	820
124	581	814
125	585	808
126	588	801
127	592	795
128	595	789
129	599	783
130	602	777
131	606	771
132	609	765
133	613	759
134	616	753
135	620	748
136	623	742
137	627	736
138	630	730
139	634	725
140	638	719
141	641	713
142	644	708
143	648	702
144	651	696
145	655	690
146	658	685
147	662	680
148	666	675
149	669	669
150	673	664
151	676	658
152	680	653
153	684	648
154	687	643
155	691	637
156	694	632
157	697	627
158	701	622
159	705	617
160	708	612
161	712	606
162	715	601
163	719	596
164	723	592
165	726	586
166	730	581
167	733	576
168	736	571
169	740	565
170	743	561
171	747	555
172	750	550
173	753	545
174	757	540
175	760	535
176	764	531
177	767	526
178	771	521
179	774	516
180	777	511
181	781	506
182	784	501
183	788	496
184	791	491
185	794	487
186	798	482
187	801	477
188	804	472
189	808	467
190	811	463
191	815	458
192	818	453
193	822	449
194	825	444
195	829	439
196	832	435
197	836	430
198	839	426
199	842	421
200	846	416
201	849	412
202	852	407
203	855	402
204	859	398
205	862	393
206	865	388
207	868	384
208	871	379
209	875	375
210	878	370
211	881	365
212	884	361
213	887	356
214	890	352
215	894	347
216	897	343
217	900	338
218	904	334
219	907	329
220	910	325
221	914	321
222	918	317
223	921	312
224	924	308
225	927	303
226	930	299
227	934	294
228	937	290
229	940	286
230	943	281
231	946	277
232	949	273
233	953	268
234	956	264
235	960	260
236	963	256
237	966	251
238	969	247
239	973	243
240	976	238
241	979	234
242	983	230
243	986	226
244	989	222
245	993	217
246	996	213
247	999	209
248	1002	205
249	1005	201
250	1008	196
251	1012	192
252	1015	188
253	1019	184
254	1022	180
255	1025	176
256	1028	172
257	1032	168
258	1035	163
259	1038	159
260	1041	155
261	1045	151
262	1048	147
263	1051	143
264	1054	139
265	1057	135
266	1060	131
267	1063	127
268	1067	122
269	1070	118
270	1073	114
271	1076	110
272	1079	106
273	1083	102
274	1086	98
275	1089	94
276	1092	90
277	1095	86
278	1098	82
279	1101	78
280	1105	74
281	1108	70
282	1112	66
283	1115	62
284	1118	58
285	1122	54
286	1125	50
287	1128	47
288	1132	43
289	1135	39
290	1138	35
291	1141	31
292	1145	27
293	1148	23
294	1151	19
295	1154	15
296	1158	11
297	1161	7
298	1164	3
299	1167	0
